 #   corr_m    corr_e   u_corr
-.0114    2.0605         349
-.0114    2.0604         350
-.0115    2.0604         351
-.0116    2.0604         352
-.0116    2.0604         353
-.0117    2.0604         354
-.0118    2.0603         355
-.0119    2.0603         356
-.0119    2.0603         357
-.0120    2.0603         358
-.0121    2.0603         359
-.0121    2.0602         360
-.0122    2.0602         361
-.0123    2.0602         362
-.0124    2.0602         363
-.0124    2.0601         364
-.0125    2.0601         365
-.0126    2.0601         366
-.0126    2.0601         367
-.0127    2.0601         368
-.0128    2.0600         369
-.0128    2.0600         370
-.0129    2.0600         371
-.0130    2.0600         372
-.0131    2.0600         373
-.0131    2.0599         374
-.0132    2.0599         375
-.0133    2.0599         376
-.0133    2.0599         377
-.0134    2.0599         378
-.0135    2.0598         379
-.0136    2.0598         380
-.0136    2.0598         381
-.0137    2.0598         382
-.0138    2.0598         383
-.0138    2.0597         384
-.0139    2.0597         385
-.0140    2.0597         386
-.0140    2.0597         387
-.0141    2.0596         388
-.0142    2.0596         389
-.0143    2.0596         390
-.0143    2.0596         391
-.0144    2.0596         392
-.0145    2.0595         393
-.0145    2.0595         394
-.0146    2.0595         395
-.0147    2.0595         396
-.0148    2.0595         397
-.0148    2.0594         398
-.0149    2.0594         399
-.0150    2.0594         400
-.0149    2.0594         401
-.0148    2.0594         402
-.0146    2.0594         403
-.0145    2.0594         404
-.0144    2.0594         405
-.0143    2.0594         406
-.0142    2.0594         407
-.0141    2.0594         408
-.0140    2.0594         409
-.0139    2.0594         410
-.0138    2.0594         411
-.0137    2.0594         412
-.0136    2.0594         413
-.0134    2.0594         414
-.0133    2.0594         415
-.0132    2.0594         416
-.0131    2.0594         417
-.0130    2.0594         418
-.0129    2.0594         419
-.0128    2.0594         420
-.0127    2.0594         421
-.0126    2.0594         422
-.0125    2.0594         423
-.0124    2.0594         424
-.0123    2.0594         425
-.0121    2.0594         426
-.0120    2.0594         427
-.0119    2.0594         428
-.0118    2.0594         429
-.0117    2.0594         430
-.0116    2.0594         431
-.0115    2.0594         432
-.0114    2.0594         433
-.0113    2.0594         434
-.0112    2.0594         435
-.0111    2.0594         436
-.0110    2.0594         437
-.0108    2.0594         438
-.0107    2.0594         439
-.0106    2.0594         440
-.0105    2.0594         441
-.0104    2.0594         442
-.0103    2.0594         443
-.0102    2.0594         444
-.0101    2.0594         445
-.0100    2.0593         446
-.0099    2.0593         447
-.0098    2.0593         448
-.0096    2.0593         449
-.0095    2.0593         450
-.0094    2.0593         451
-.0093    2.0593         452
-.0092    2.0593         453
-.0091    2.0593         454
-.0090    2.0593         455
-.0089    2.0593         456
-.0088    2.0593         457
-.0087    2.0593         458
-.0086    2.0593         459
-.0085    2.0593         460
-.0083    2.0593         461
-.0082    2.0593         462
-.0081    2.0593         463
-.0080    2.0593         464
-.0079    2.0593         465
-.0078    2.0593         466
-.0077    2.0593         467
-.0076    2.0593         468
-.0075    2.0593         469
-.0074    2.0593         470
-.0073    2.0593         471
-.0072    2.0593         472
-.0070    2.0593         473
-.0069    2.0593         474
-.0068    2.0593         475
-.0067    2.0593         476
-.0066    2.0593         477
-.0065    2.0593         478
-.0064    2.0593         479
-.0063    2.0593         480
-.0062    2.0593         481
-.0061    2.0593         482
-.0060    2.0593         483
-.0058    2.0593         484
-.0057    2.0593         485
-.0056    2.0593         486
-.0055    2.0593         487
-.0054    2.0593         488
-.0053    2.0593         489
-.0052    2.0593         490
-.0051    2.0593         491
-.0050    2.0593         492
-.0049    2.0593         493
-.0048    2.0593         494
-.0047    2.0593         495
-.0045    2.0593         496
-.0044    2.0593         497
-.0043    2.0593         498
-.0042    2.0593         499
-.0041    2.0593         500
-.0039    2.0593         501
-.0038    2.0594         502
-.0036    2.0595         503
-.0034    2.0595         504
-.0032    2.0596         505
-.0031    2.0596         506
-.0029    2.0597         507
-.0027    2.0598         508
-.0025    2.0598         509
-.0024    2.0599         510
-.0022    2.0599         511
-.0020    2.0600         512
-.0019    2.0601         513
-.0017    2.0601         514
-.0015    2.0602         515
-.0013    2.0602         516
-.0012    2.0603         517
-.0010    2.0604         518
-.0008    2.0604         519
-.0006    2.0605         520
-.0005    2.0605         521
-.0003    2.0606         522
-.0001    2.0607         523
0.0001    2.0607         524
0.0002    2.0608         525
0.0004    2.0608         526
0.0006    2.0609         527
0.0008    2.0610         528
0.0009    2.0610         529
0.0011    2.0611         530
0.0013    2.0611         531
0.0014    2.0612         532
0.0016    2.0613         533
0.0018    2.0613         534
0.0020    2.0614         535
0.0021    2.0615         536
0.0023    2.0615         537
0.0025    2.0616         538
0.0027    2.0616         539
0.0028    2.0617         540
0.0030    2.0618         541
0.0032    2.0618         542
0.0034    2.0619         543
0.0035    2.0619         544
0.0037    2.0620         545
0.0039    2.0621         546
0.0041    2.0621         547
0.0042    2.0622         548
0.0044    2.0622         549
0.0046    2.0623         550
0.0048    2.0624         551
0.0049    2.0624         552
0.0051    2.0625         553
0.0053    2.0625         554
0.0054    2.0626         555
0.0056    2.0627         556
0.0058    2.0627         557
0.0060    2.0628         558
0.0061    2.0628         559
0.0063    2.0629         560
0.0065    2.0630         561
0.0067    2.0630         562
0.0068    2.0631         563
0.0070    2.0631         564
0.0072    2.0632         565
0.0074    2.0633         566
0.0075    2.0633         567
0.0077    2.0634         568
0.0079    2.0634         569
0.0081    2.0635         570
0.0082    2.0636         571
0.0084    2.0636         572
0.0086    2.0637         573
0.0088    2.0637         574
0.0089    2.0638         575
0.0091    2.0639         576
0.0093    2.0639         577
0.0094    2.0640         578
0.0096    2.0640         579
0.0098    2.0641         580
0.0100    2.0642         581
0.0101    2.0642         582
0.0103    2.0643         583
0.0105    2.0643         584
0.0107    2.0644         585
0.0108    2.0645         586
0.0110    2.0645         587
0.0112    2.0646         588
0.0114    2.0646         589
0.0115    2.0647         590
0.0117    2.0648         591
0.0119    2.0648         592
0.0121    2.0649         593
0.0122    2.0649         594
0.0124    2.0650         595
0.0126    2.0651         596
0.0128    2.0651         597
0.0129    2.0652         598
0.0131    2.0652         599
0.0133    2.0653         600
0.0136    2.0652         601
0.0139    2.0652         602
0.0142    2.0651         603
0.0145    2.0651         604
0.0148    2.0650         605
0.0151    2.0650         606
0.0154    2.0649         607
0.0157    2.0648         608
0.0160    2.0648         609
0.0163    2.0647         610
0.0166    2.0647         611
0.0169    2.0646         612
0.0172    2.0646         613
0.0175    2.0645         614
0.0178    2.0644         615
0.0181    2.0644         616
0.0184    2.0643         617
0.0187    2.0643         618
0.0190    2.0642         619
0.0193    2.0642         620
0.0196    2.0641         621
0.0199    2.0640         622
0.0202    2.0640         623
0.0205    2.0639         624
0.0208    2.0639         625
0.0211    2.0638         626
0.0214    2.0638         627
0.0217    2.0637         628
0.0220    2.0637         629
0.0223    2.0636         630
0.0226    2.0635         631
0.0229    2.0635         632
0.0232    2.0634         633
0.0235    2.0634         634
0.0238    2.0633         635
0.0241    2.0633         636
0.0244    2.0632         637
0.0247    2.0631         638
0.0250    2.0631         639
0.0253    2.0630         640
0.0256    2.0630         641
0.0259    2.0629         642
0.0262    2.0629         643
0.0265    2.0628         644
0.0268    2.0627         645
0.0271    2.0627         646
0.0274    2.0626         647
0.0277    2.0626         648
0.0280    2.0625         649
0.0283    2.0625         650
0.0286    2.0624         651
0.0289    2.0623         652
0.0292    2.0623         653
0.0295    2.0622         654
0.0298    2.0622         655
0.0301    2.0621         656
0.0304    2.0621         657
0.0307    2.0620         658
0.0310    2.0619         659
0.0313    2.0619         660
0.0316    2.0618         661
0.0319    2.0618         662
0.0322    2.0617         663
0.0325    2.0617         664
0.0328    2.0616         665
0.0331    2.0616         666
0.0334    2.0615         667
0.0337    2.0614         668
0.0340    2.0614         669
0.0343    2.0613         670
0.0346    2.0613         671
0.0349    2.0612         672
0.0352    2.0612         673
0.0355    2.0611         674
