 #m    e    m2    e2    
 -0.8600     -1.5700      0.7396      2.4649
 -0.8450     -1.6100      0.7140      2.5921
 -0.9050     -1.6900      0.8190      2.8561
 -0.8600     -1.5700      0.7396      2.4649
 -0.8850     -1.6300      0.7832      2.6569
 -0.7500     -1.3900      0.5625      1.9321
 -0.9100     -1.7500      0.8281      3.0625
 -0.7300     -1.4700      0.5329      2.1609
 -0.7050     -1.4100      0.4970      1.9881
 -0.5550     -1.4800      0.3080      2.1904
  0.6500     -1.2500      0.4225      1.5625
  0.7000     -1.3700      0.4900      1.8769
  0.8250     -1.5300      0.6806      2.3409
  0.8600     -1.6000      0.7396      2.5600
  0.6750     -1.3400      0.4556      1.7956
  0.8150     -1.5500      0.6642      2.4025
  0.7850     -1.5400      0.6162      2.3716
  0.7550     -1.4700      0.5700      2.1609
  0.6450     -1.3200      0.4160      1.7424
  0.8800     -1.6600      0.7744      2.7556
  0.8350     -1.5500      0.6972      2.4025
  0.8100     -1.6500      0.6561      2.7225
  0.8100     -1.4800      0.6561      2.1904
  0.6700     -1.3600      0.4489      1.8496
  0.4650     -1.2400      0.2162      1.5376
  0.7100     -1.3500      0.5041      1.8225
  0.7000     -1.3800      0.4900      1.9044
  0.7700     -1.5100      0.5929      2.2801
 -0.7350     -1.4200      0.5402      2.0164
 -0.7750     -1.4900      0.6006      2.2201
  0.8300     -1.5500      0.6889      2.4025
  0.7900     -1.3800      0.6241      1.9044
  0.5450     -1.2200      0.2970      1.4884
 -0.5750     -1.3300      0.3306      1.7689
 -0.7600     -1.4400      0.5776      2.0736
 -0.6950     -1.3100      0.4830      1.7161
 -0.5800     -1.3900      0.3364      1.9321
 -0.7450     -1.4600      0.5550      2.1316
 -0.8750     -1.6300      0.7656      2.6569
  0.6050     -1.2700      0.3660      1.6129
  0.5650     -1.3900      0.3192      1.9321
 -0.6800     -1.2600      0.4624      1.5876
 -0.7300     -1.3700      0.5329      1.8769
  0.2550     -1.0500      0.0650      1.1025
  0.6550     -1.4700      0.4290      2.1609
 -0.4000     -1.2800      0.1600      1.6384
 -0.7500     -1.3300      0.5625      1.7689
 -0.0550     -1.0600      0.0030      1.1236
  0.8600     -1.5800      0.7396      2.4964
  0.7650     -1.3900      0.5852      1.9321
  0.5100     -1.2700      0.2601      1.6129
  0.6300     -1.3400      0.3969      1.7956
  0.7000     -1.5400      0.4900      2.3716
  0.5450     -1.3000      0.2970      1.6900
 -0.7600     -1.5000      0.5776      2.2500
  0.1400     -1.1100      0.0196      1.2321
 -0.4150     -1.2100      0.1722      1.4641
 -0.4500     -1.2600      0.2025      1.5876
 -0.7700     -1.5000      0.5929      2.2500
 -0.7000     -1.4000      0.4900      1.9600
 -0.8300     -1.5500      0.6889      2.4025
 -0.8150     -1.4900      0.6642      2.2201
 -0.5900     -1.5000      0.3481      2.2500
 -0.7950     -1.5400      0.6320      2.3716
  0.0150     -1.1300      0.0002      1.2769
 -0.6550     -1.3500      0.4290      1.8225
 -0.6350     -1.3000      0.4032      1.6900
 -0.7100     -1.4400      0.5041      2.0736
  0.7850     -1.4200      0.6162      2.0164
  0.7900     -1.5200      0.6241      2.3104
  0.7000     -1.4100      0.4900      1.9881
  0.4250     -1.2100      0.1806      1.4641
  0.7950     -1.4700      0.6320      2.1609
  0.8650     -1.5600      0.7482      2.4336
  0.8200     -1.5800      0.6724      2.4964
  0.8050     -1.4900      0.6480      2.2201
  0.8500     -1.5200      0.7225      2.3104
  0.4600     -1.3600      0.2116      1.8496
  0.6400     -1.2600      0.4096      1.5876
  0.7600     -1.3900      0.5776      1.9321
  0.7550     -1.4000      0.5700      1.9600
 -0.2700     -1.3300      0.0729      1.7689
 -0.8700     -1.6000      0.7569      2.5600
 -0.7900     -1.4000      0.6241      1.9600
 -0.7950     -1.5500      0.6320      2.4025
 -0.6350     -1.4200      0.4032      2.0164
 -0.7000     -1.3100      0.4900      1.7161
 -0.8350     -1.5400      0.6972      2.3716
  0.3050     -1.2300      0.0930      1.5129
  0.8950     -1.6500      0.8010      2.7225
  0.1700     -1.2000      0.0289      1.4400
 -0.7550     -1.4300      0.5700      2.0449
 -0.5250     -1.3000      0.2756      1.6900
 -0.6350     -1.2600      0.4032      1.5876
 -0.6950     -1.2700      0.4830      1.6129
 -0.4900     -1.3100      0.2401      1.7161
 -0.6350     -1.3000      0.4032      1.6900
 -0.7000     -1.3000      0.4900      1.6900
 -0.1800     -1.3600      0.0324      1.8496
  0.1850     -1.1500      0.0342      1.3225
  0.4950     -1.3900      0.2450      1.9321
  0.7600     -1.3600      0.5776      1.8496
  0.2400     -1.3200      0.0576      1.7424
  0.6050     -1.2700      0.3660      1.6129
  0.8150     -1.5000      0.6642      2.2500
  0.9150     -1.7400      0.8372      3.0276
  0.6600     -1.1900      0.4356      1.4161
  0.8000     -1.5300      0.6400      2.3409
  0.2600     -1.1600      0.0676      1.3456
  0.7800     -1.4800      0.6084      2.1904
  0.7800     -1.5400      0.6084      2.3716
  0.3950     -1.2300      0.1560      1.5129
  0.7550     -1.4300      0.5700      2.0449
  0.4350     -1.3900      0.1892      1.9321
  0.4250     -1.2500      0.1806      1.5625
  0.5750     -1.2300      0.3306      1.5129
  0.7750     -1.3800      0.6006      1.9044
  0.6850     -1.3500      0.4692      1.8225
  0.8350     -1.5700      0.6972      2.4649
  0.7100     -1.3900      0.5041      1.9321
 -0.5800     -1.2600      0.3364      1.5876
  0.7900     -1.4600      0.6241      2.1316
  0.7100     -1.4700      0.5041      2.1609
  0.6650     -1.2700      0.4422      1.6129
  0.9050     -1.7100      0.8190      2.9241
  0.8400     -1.6400      0.7056      2.6896
  0.8250     -1.5000      0.6806      2.2500
  0.0750     -1.2400      0.0056      1.5376
  0.6150     -1.2700      0.3782      1.6129
  0.7800     -1.4500      0.6084      2.1025
  0.8250     -1.5500      0.6806      2.4025
  0.7400     -1.6000      0.5476      2.5600
  0.8150     -1.4900      0.6642      2.2201
  0.4000     -1.3200      0.1600      1.7424
  0.6650     -1.2900      0.4422      1.6641
  0.6000     -1.2300      0.3600      1.5129
  0.7750     -1.4700      0.6006      2.1609
  0.6500     -1.4400      0.4225      2.0736
  0.7650     -1.4000      0.5852      1.9600
  0.8650     -1.5900      0.7482      2.5281
  0.5500     -1.2500      0.3025      1.5625
  0.8600     -1.6500      0.7396      2.7225
  0.6200     -1.3100      0.3844      1.7161
  0.5800     -1.4400      0.3364      2.0736
  0.7850     -1.4500      0.6162      2.1025
 -0.0750     -1.2300      0.0056      1.5129
 -0.6000     -1.2800      0.3600      1.6384
 -0.4750     -1.2500      0.2256      1.5625
 -0.7950     -1.4600      0.6320      2.1316
 -0.8500     -1.5300      0.7225      2.3409
 -0.5800     -1.2800      0.3364      1.6384
 -0.6450     -1.2000      0.4160      1.4400
 -0.8850     -1.7300      0.7832      2.9929
 -0.3700     -1.1300      0.1369      1.2769
 -0.5350     -1.3200      0.2862      1.7424
 -0.3150     -1.3000      0.0992      1.6900
 -0.7600     -1.5100      0.5776      2.2801
 -0.8250     -1.5900      0.6806      2.5281
 -0.7300     -1.3900      0.5329      1.9321
 -0.6800     -1.3200      0.4624      1.7424
 -0.7950     -1.4700      0.6320      2.1609
 -0.7200     -1.4600      0.5184      2.1316
 -0.1150     -1.2300      0.0132      1.5129
 -0.7700     -1.5200      0.5929      2.3104
 -0.5500     -1.2500      0.3025      1.5625
 -0.7100     -1.4500      0.5041      2.1025
  0.2450     -1.2400      0.0600      1.5376
 -0.5650     -1.2100      0.3192      1.4641
  0.6250     -1.4100      0.3906      1.9881
  0.7650     -1.4900      0.5852      2.2201
  0.8400     -1.6000      0.7056      2.5600
  0.4700     -1.4100      0.2209      1.9881
 -0.4900     -1.3300      0.2401      1.7689
 -0.7150     -1.3800      0.5112      1.9044
 -0.5100     -1.2200      0.2601      1.4884
 -0.7150     -1.3600      0.5112      1.8496
 -0.6550     -1.4000      0.4290      1.9600
 -0.7400     -1.4000      0.5476      1.9600
 -0.6250     -1.3300      0.3906      1.7689
 -0.8000     -1.4500      0.6400      2.1025
 -0.8050     -1.5800      0.6480      2.4964
 -0.7050     -1.4100      0.4970      1.9881
 -0.5150     -1.2500      0.2652      1.5625
 -0.5800     -1.2800      0.3364      1.6384
 -0.8150     -1.5000      0.6642      2.2500
 -0.7600     -1.4300      0.5776      2.0449
 -0.6500     -1.2700      0.4225      1.6129
 -0.9200     -1.7100      0.8464      2.9241
 -0.7800     -1.4400      0.6084      2.0736
 -0.3550     -1.4500      0.1260      2.1025
 -0.8150     -1.5000      0.6642      2.2500
  0.4800     -1.2300      0.2304      1.5129
